village,census_village_code,population_2011,children_0_6_2011,last_verified_event_date,event_type,event_summary,source_url,evidence_classification,outreach_gap_status,research_status
"Achooranam",627333,11998,1655,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify with PHC/ASHA/panchayat register","Needs local verification"
"Ambalavayal",627322,16988,1891,,,"No dated event confirmed as occurring inside this Census village. The official FHC and Tribal Medical Unit are present, but this does not establish a camp date.",https://health.kerala.gov.in/institutionDetails,"Health-service presence only","High—verify FHC/Tribal Medical Unit outreach register","Needs local verification"
"Anchukunnu",627305,19078,2140,,,"No dated human-health outreach event located in indexed public-web search. Govt Jilla Homoeo Hospital is listed in Anchukunnu.",https://homoeopathy.kerala.gov.in/en/janani/,"Facility presence only","High—verify hospital/ASHA register","Needs local verification"
"Cheeral",627320,15725,1554,,,"No dated human-health outreach event located. FHC Cheeral is listed by Kerala Health.",https://health.kerala.gov.in/institutionDetails,"Facility presence only","High—verify FHC register","Needs local verification"
"Cherukottur",627303,11462,1314,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Chundale",627336,7996,878,2015-09-14,"Animal health camp and awareness seminar","KVASU recorded a free animal health camp at Chundale; this is related community activity, not a human health camp.",https://www.kvasu.ac.in/news/readmore/1032,"Dated related community event—not human outreach","High—human-health camp date still unknown","Needs local verification"
"Edavaka",627301,16737,1960,2026-09-10,"Health awareness class","Swasthyam 2026 Karkidaka Fest and AYUSH awareness class run with Kudumbashree Mission Wayanad and AYUSH Mission.",https://edavakapanchayat.lsgkerala.gov.in/en/news/swasthyam-2026-karkidaka-fest-and-awareness-class-held,"Dated human-health community activity—not a clinical camp","Medium—recent community contact documented; clinical-camp history unknown","Verified public record"
"Irulam",627314,21052,2098,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Kaniambetta",627327,29363,3526,,,"No dated human-health outreach event located. Health and nutrition awareness activity is described for a residential school but no event date is supplied.",https://www.kvasu.ac.in/news/readmore/1032,"Undated related community activity","High—verify FHC/ASHA/panchayat register","Needs local verification"
"Kanjirangad",627308,11811,1344,,,"No dated human-health outreach event confirmed inside the village. A nearby youth-club activity record mentions a 2023 blood-donation camp but does not establish the venue as Kanjirangad.",https://miracleyouthclub.com/activities,"Related but location unconfirmed","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Kavumannam",627331,10106,1075,,,"No dated human-health outreach event located. A food-safety awareness class is described at Thariyode Panchayat, Kavumannam, without a date.",https://coheart.ac.in/uploads/about/1554357111.pdf,"Undated related community activity","High—verify CHC Thariyode/FWC register","Needs local verification"
"Kidanganad",627313,9122,1076,2023-09-11,"Medical camp","University of Calicut material includes geotagged photographs of a Lions medical camp at Chethalayam, Kidanganad, covering diabetic/general medicine and gynaecology check-ups.",https://iqac.uoc.ac.in/images/5.1.3_compressed.pdf,"Dated human-health camp","Medium—last public record found is old; check for later local camps","Verified public record"
"Kottappadi (Part)",627337,23384,2910,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Kottathara",627326,17295,1985,2012-07-25,"Outbreak-response medical camp","IDSP outbreak report records a medical camp and health-education response after hepatitis A cases at ALPS Madakkimala in Kottathara Village.",https://flutrackers.com/threads/2012-india-idsp-3-day-rolling-reports-afp-leptospirosis-diphtheria-unidentified-fever-chikungunya.120543/page-9,"Dated human-health camp; historic outbreak response","High—record is 14 years old; verify later activity locally","Verified public record"
"Krishnagiri",627316,12952,1212,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Kunnathidavaka",627335,10309,1216,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Kuppadi",627318,26662,2904,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Kuppadithara",627325,9761,1250,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Mananthavady",627296,34663,3852,2023-11-09,"Medical screening camp","IADVL Kerala records a medical-check-up camp for high-risk groups in Mananthavady. The indexed record does not identify a specific Census-village venue.",https://fliphtml5.com/lskdh/ilxx/IADVL_News_Jan_2024_Final_web/,"Dated human-health camp; town-level location","Medium—town activity documented; village-specific venue unknown","Verified public record"
"Muppainad",627339,22892,2652,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify FHC/ASHA/panchayat register","Needs local verification"
"Muttil North",627328,12382,1538,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Muttil South",627329,22355,2559,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Nadavayal",627309,15795,1682,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Nalloornad",627302,16928,1891,,,"No dated human-health outreach event located. Govt Tribal Speciality Hospital is listed in Nalloornad.",https://health.kerala.gov.in/institutionDetails,"Facility presence only","High—verify hospital/ASHA outreach register","Needs local verification"
"Nenmeni",627321,31225,3350,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify FHC/ASHA/panchayat register","Needs local verification"
"Noolpuzha",627319,14133,1626,,,"Oorum Uyirum, a tribal-health initiative including screening and medicines, was launched at Ponkuzhi Paniya Colony; the indexed source gives no date.",https://health.kerala.gov.in/assets/backend/publications/Health%40wayanad.pdf,"Undated human-health community activity","High—obtain launch/activity date from District Health Office","Needs local verification"
"Padichira",627312,28970,2839,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
