village,population,accessibility_need_score,environmental_risk_score,simulated_case_ratio_per_1000,simulated_resolution_rate_pct,reported_cases,resolved_cases,unresolved_cases,unresolved_case_rate_per_1000
Thirunelly,12878,27.9,62.5,4.5,81.56,58,47,11,0.85
Thrissilery,16818,9.5,30.0,3.64,87.58,61,53,8,0.48
Payyampally,13311,7.8,62.5,4.09,84.58,54,46,8,0.6
Mananthavady,34663,27.6,12.5,3.74,86.61,130,113,17,0.49
Thavinhal,17840,2.0,12.5,3.23,90.45,58,52,6,0.34
Periya,11174,17.0,62.5,4.28,83.2,48,40,8,0.72
Thondernad,11752,12.3,62.5,4.18,83.9,49,41,8,0.68
Valat,10799,3.5,80.0,4.27,83.48,46,38,8,0.74
Edavaka,16737,4.7,12.5,3.28,90.04,55,50,5,0.3
Nalloornad,16928,6.8,62.5,4.07,84.73,69,58,11,0.65
Cherukottur,11462,11.8,62.5,4.17,83.98,48,40,8,0.7
Panamaram,12683,0.0,62.5,3.94,85.75,50,43,7,0.55
Anchukunnu,19078,18.1,12.5,3.55,88.04,68,60,8,0.42
Porunnanore,22137,8.9,12.5,3.37,89.42,75,67,8,0.36
Vellamunda,18069,14.0,12.5,3.47,88.65,63,56,7,0.39
Kanjirangad,11811,9.5,12.5,3.38,89.32,40,36,4,0.34
Nadavayal ,15795,11.4,62.5,4.17,84.04,66,55,11,0.7
Poothadi,14578,7.6,62.5,4.09,84.61,60,51,9,0.62
Pulpalli,28322,8.5,12.5,3.36,89.48,95,85,10,0.35
Padichira,28970,1.3,12.5,3.21,90.56,93,84,9,0.31
Kidanganad,9122,32.9,30.0,4.11,84.06,37,31,6,0.66
Irulam,21052,19.9,12.5,3.59,87.76,75,66,9,0.43
Purakkadi ,21022,5.3,62.5,4.04,84.96,85,72,13,0.62
Krishnagiri,12952,10.3,62.5,4.14,84.2,54,45,9,0.69
Sulthanbathery,23333,25.0,30.0,3.95,85.25,92,78,14,0.6
Kuppadi,26662,8.7,12.5,3.36,89.44,90,81,9,0.34
Noolpuzha,14133,30.9,62.5,4.56,81.11,64,52,12,0.85
Cheeral,15725,7.8,12.5,3.34,89.58,53,47,6,0.38
Nenmeni,31225,12.9,62.5,4.2,83.82,131,110,21,0.67
Ambalavayal,16988,22.9,12.5,3.65,87.32,62,54,8,0.47
Thomattuchal,17984,5.0,12.5,3.29,90.0,59,53,6,0.33
Padinharethara,16146,6.9,62.5,4.08,84.72,66,56,10,0.62
Kuppadithara,9761,3.2,62.5,4.0,85.27,39,33,6,0.61
Kottathara ,17295,6.6,62.5,4.07,84.76,70,59,11,0.64
Kaniambetta,29363,13.2,62.5,4.2,83.77,123,103,20,0.68
Muttil North ,12382,9.3,62.5,4.12,84.36,51,43,8,0.65
Muttil South,22355,7.3,30.0,3.6,87.9,80,70,10,0.45
Vengappally,11692,12.7,12.5,3.44,88.84,40,36,4,0.34
Kavumannam,10106,13.9,62.5,4.22,83.66,43,36,7,0.69
Thariyode,1653,15.9,12.5,3.51,88.36,6,5,1,0.6
Achooranam,11998,9.8,62.5,4.13,84.28,50,42,8,0.67
Pozhuthana,6406,0.0,62.5,3.94,85.75,25,21,4,0.62
Kunnathidavaka,10309,2.8,62.5,3.99,85.33,41,35,6,0.58
Chundale,7996,15.3,12.5,3.49,88.46,28,25,3,0.38
Kottappadi (Part),23384,33.2,12.5,3.85,85.77,90,77,13,0.56
Thrikkaipatta (Part),8551,18.0,12.5,3.55,88.05,30,26,4,0.47
Muppainad,22892,20.1,12.5,3.59,87.74,82,72,10,0.44
Vellarimala,7548,100.0,30.0,5.45,74.0,41,30,11,1.46
